date,store_id,daily_sales,promotion_active,store_size,city_population,is_weekend,day_of_week,month,quarter,days_since_start
2021-03-11,store_001,13691.61,0,large,500000,0,3,3,1,69
2021-03-12,store_001,17272.45,0,large,500000,0,4,3,1,70
2021-03-13,store_001,26253.23,0,large,500000,1,5,3,1,71
2021-03-14,store_001,21883.16,0,large,500000,1,6,3,1,72
2021-03-15,store_001,27609.98,1,large,500000,0,0,3,1,73
2021-03-16,store_001,29328.43,1,large,500000,0,1,3,1,74
2021-03-17,store_001,34263.62,1,large,500000,0,2,3,1,75
2021-03-18,store_001,32007.69,1,large,500000,0,3,3,1,76
2021-03-19,store_001,30666.59,1,large,500000,0,4,3,1,77
2021-03-20,store_001,44894.9,1,large,500000,1,5,3,1,78
2021-03-21,store_001,44942.96,1,large,500000,1,6,3,1,79
2021-03-22,store_001,24407.33,1,large,500000,0,0,3,1,80
2021-03-23,store_001,25352.26,1,large,500000,0,1,3,1,81
2021-03-24,store_001,34643.91,1,large,500000,0,2,3,1,82
2021-03-25,store_001,27657.43,1,large,500000,0,3,3,1,83
2021-03-26,store_001,39821.9,1,large,500000,0,4,3,1,84
2021-03-27,store_001,45778.05,1,large,500000,1,5,3,1,85
2021-03-28,store_001,46197.52,1,large,500000,1,6,3,1,86
2021-03-29,store_001,30805.1,1,large,500000,0,0,3,1,87
2021-03-30,store_001,40517.77,1,large,500000,0,1,3,1,88
2021-03-31,store_001,28633.99,1,large,500000,0,2,3,1,89
2021-04-01,store_001,15434.72,0,large,500000,0,3,4,2,90
2021-04-02,store_001,20367.31,0,large,500000,0,4,4,2,91
2021-04-03,store_001,23243.11,0,large,500000,1,5,4,2,92
2021-04-04,store_001,21212.19,0,large,500000,1,6,4,2,93
2021-04-05,store_001,18908.78,0,large,500000,0,0,4,2,94
2021-04-06,store_001,20953.13,0,large,500000,0,1,4,2,95
2021-04-07,store_001,19095.27,0,large,500000,0,2,4,2,96
2021-04-08,store_001,18340.13,0,large,500000,0,3,4,2,97
2021-04-09,store_001,18774.3,0,large,500000,0,4,4,2,98
2021-04-10,store_001,28924.92,0,large,500000,1,5,4,2,99
2021-04-11,store_001,23204.57,0,large,500000,1,6,4,2,100
2021-04-12,store_001,18020.39,0,large,500000,0,0,4,2,101
2021-04-13,store_001,17457.36,0,large,500000,0,1,4,2,102
2021-04-14,store_001,16202.65,0,large,500000,0,2,4,2,103
2021-04-15,store_001,17799.85,0,large,500000,0,3,4,2,104
2021-04-16,store_001,20507.47,0,large,500000,0,4,4,2,105
2021-04-17,store_001,27396.44,0,large,500000,1,5,4,2,106
2021-04-18,store_001,27681.74,0,large,500000,1,6,4,2,107
2021-04-19,store_001,18903.98,0,large,500000,0,0,4,2,108
2021-04-20,store_001,19663.21,0,large,500000,0,1,4,2,109
2021-04-21,store_001,17238.43,0,large,500000,0,2,4,2,110
2021-04-22,store_001,18209.27,0,large,500000,0,3,4,2,111
2021-04-23,store_001,19203.83,0,large,500000,0,4,4,2,112
2021-04-24,store_001,27183.08,0,large,500000,1,5,4,2,113
2021-04-25,store_001,27366.85,0,large,500000,1,6,4,2,114
2021-04-26,store_001,18726.57,0,large,500000,0,0,4,2,115
2021-04-27,store_001,18317.68,0,large,500000,0,1,4,2,116
2021-04-28,store_001,25107.56,0,large,500000,0,2,4,2,117
2021-04-29,store_001,20860.95,0,large,500000,0,3,4,2,118
2021-04-30,store_001,19962.09,0,large,500000,0,4,4,2,119
2021-05-01,store_001,26270.16,0,large,500000,1,5,5,2,120
2021-05-02,store_001,25738.84,0,large,500000,1,6,5,2,121
2021-05-03,store_001,19041.31,0,large,500000,0,0,5,2,122
2021-05-04,store_001,19898.62,0,large,500000,0,1,5,2,123
2021-05-05,store_001,15727.72,0,large,500000,0,2,5,2,124
2021-05-06,store_001,16360.93,0,large,500000,0,3,5,2,125
2021-05-07,store_001,18203.58,0,large,500000,0,4,5,2,126
2021-05-08,store_001,27830.87,0,large,500000,1,5,5,2,127
2021-05-09,store_001,26658.42,0,large,500000,1,6,5,2,128
2021-05-10,store_001,22428.26,0,large,500000,0,0,5,2,129
2021-05-11,store_001,16669.16,0,large,500000,0,1,5,2,130
2021-05-12,store_001,18126.64,0,large,500000,0,2,5,2,131
2021-05-13,store_001,22610.39,0,large,500000,0,3,5,2,132
2021-05-14,store_001,19911.02,0,large,500000,0,4,5,2,133
2021-05-15,store_001,29987.57,0,large,500000,1,5,5,2,134
2021-05-16,store_001,33241.19,0,large,500000,1,6,5,2,135
2021-05-17,store_001,18356.29,0,large,500000,0,0,5,2,136
2021-05-18,store_001,19549.91,0,large,500000,0,1,5,2,137
2021-05-19,store_001,19227.44,0,large,500000,0,2,5,2,138
2021-05-20,store_001,15917.43,0,large,500000,0,3,5,2,139
2021-05-21,store_001,19187.1,0,large,500000,0,4,5,2,140
2021-05-22,store_001,30189.2,0,large,500000,1,5,5,2,141
2021-05-23,store_001,29266.08,0,large,500000,1,6,5,2,142
2021-05-24,store_001,21074.07,0,large,500000,0,0,5,2,143
2021-05-25,store_001,19111.7,0,large,500000,0,1,5,2,144
2021-05-26,store_001,18564.38,0,large,500000,0,2,5,2,145
2021-05-27,store_001,22400.02,0,large,500000,0,3,5,2,146
2021-05-28,store_001,18896.04,0,large,500000,0,4,5,2,147
2021-05-29,store_001,28666.98,0,large,500000,1,5,5,2,148
2021-05-30,store_001,28310.17,0,large,500000,1,6,5,2,149
2021-05-31,store_001,22809.21,0,large,500000,0,0,5,2,150
2021-06-01,store_001,21836.14,0,large,500000,0,1,6,2,151
2021-06-02,store_001,17325.76,0,large,500000,0,2,6,2,152
2021-06-03,store_001,17539.86,0,large,500000,0,3,6,2,153
2021-06-04,store_001,21053.98,0,large,500000,0,4,6,2,154
2021-06-05,store_001,27679.12,0,large,500000,1,5,6,2,155
2021-06-06,store_001,26584.47,0,large,500000,1,6,6,2,156
2021-06-07,store_001,21908.67,0,large,500000,0,0,6,2,157
2021-06-08,store_001,20254.32,0,large,500000,0,1,6,2,158
2021-06-09,store_001,19977.43,0,large,500000,0,2,6,2,159
2021-06-10,store_001,21412.4,0,large,500000,0,3,6,2,160
2021-06-11,store_001,19107.59,0,large,500000,0,4,6,2,161
2021-06-12,store_001,32132.38,0,large,500000,1,5,6,2,162
2021-06-13,store_001,25569.03,0,large,500000,1,6,6,2,163
2021-06-14,store_001,21112.26,0,large,500000,0,0,6,2,164
2021-06-15,store_001,22632.53,0,large,500000,0,1,6,2,165
2021-06-16,store_001,17052.74,0,large,500000,0,2,6,2,166
2021-06-17,store_001,19079.09,0,large,500000,0,3,6,2,167
2021-06-18,store_001,21991.38,0,large,500000,0,4,6,2,168
2021-06-19,store_001,30795.53,0,large,500000,1,5,6,2,169
2021-06-20,store_001,27096.33,0,large,500000,1,6,6,2,170
2021-06-21,store_001,18222.96,0,large,500000,0,0,6,2,171
2021-06-22,store_001,21519.97,0,large,500000,0,1,6,2,172
2021-06-23,store_001,21936.98,0,large,500000,0,2,6,2,173
2021-06-24,store_001,17305.99,0,large,500000,0,3,6,2,174
2021-06-25,store_001,17203.23,0,large,500000,0,4,6,2,175
2021-06-26,store_001,27953.83,0,large,500000,1,5,6,2,176
2021-06-27,store_001,29011.08,0,large,500000,1,6,6,2,177
2021-06-28,store_001,18880.05,0,large,500000,0,0,6,2,178
2021-06-29,store_001,20747.45,0,large,500000,0,1,6,2,179
2021-06-30,store_001,18015.05,0,large,500000,0,2,6,2,180
2021-07-01,store_001,29443.27,1,large,500000,0,3,7,3,181
2021-07-02,store_001,33931.0,1,large,500000,0,4,7,3,182
2021-07-03,store_001,37201.34,1,large,500000,1,5,7,3,183
2021-07-04,store_001,51322.58,1,large,500000,1,6,7,3,184
2021-07-05,store_001,41355.56,1,large,500000,0,0,7,3,185
2021-07-06,store_001,29116.89,1,large,500000,0,1,7,3,186
2021-07-07,store_001,37592.27,1,large,500000,0,2,7,3,187
2021-07-08,store_001,28015.06,1,large,500000,0,3,7,3,188
2021-07-09,store_001,32489.34,1,large,500000,0,4,7,3,189
2021-07-10,store_001,52872.16,1,large,500000,1,5,7,3,190
2021-07-11,store_001,49661.3,1,large,500000,1,6,7,3,191
2021-07-12,store_001,36475.62,1,large,500000,0,0,7,3,192
2021-07-13,store_001,34700.26,1,large,500000,0,1,7,3,193
2021-07-14,store_001,33559.22,1,large,500000,0,2,7,3,194
2021-07-15,store_001,35531.21,1,large,500000,0,3,7,3,195
2021-07-16,store_001,19378.99,0,large,500000,0,4,7,3,196
2021-07-17,store_001,29558.41,0,large,500000,1,5,7,3,197
2021-07-18,store_001,26671.03,0,large,500000,1,6,7,3,198
2021-07-19,store_001,17301.67,0,large,500000,0,0,7,3,199
2021-07-20,store_001,20075.24,0,large,500000,0,1,7,3,200
2021-07-21,store_001,15875.32,0,large,500000,0,2,7,3,201
2021-07-22,store_001,16346.44,0,large,500000,0,3,7,3,202
2021-07-23,store_001,18882.29,0,large,500000,0,4,7,3,203
2021-07-24,store_001,26807.72,0,large,500000,1,5,7,3,204
2021-07-25,store_001,22242.21,0,large,500000,1,6,7,3,205
2021-07-26,store_001,17392.04,0,large,500000,0,0,7,3,206
2021-07-27,store_001,16929.0,0,large,500000,0,1,7,3,207
2021-07-28,store_001,17083.41,0,large,500000,0,2,7,3,208
2021-07-29,store_001,19581.05,0,large,500000,0,3,7,3,209
2021-07-30,store_001,19086.81,0,large,500000,0,4,7,3,210
2021-07-31,store_001,24818.1,0,large,500000,1,5,7,3,211
2021-08-01,store_001,23419.62,0,large,500000,1,6,8,3,212
2021-08-02,store_001,15247.82,0,large,500000,0,0,8,3,213
2021-08-03,store_001,20052.28,0,large,500000,0,1,8,3,214
2021-08-04,store_001,18525.39,0,large,500000,0,2,8,3,215
2021-08-05,store_001,16189.3,0,large,500000,0,3,8,3,216
2021-08-06,store_001,18598.8,0,large,500000,0,4,8,3,217
2021-08-07,store_001,24021.6,0,large,500000,1,5,8,3,218
2021-08-08,store_001,23400.09,0,large,500000,1,6,8,3,219
2021-08-09,store_001,17882.48,0,large,500000,0,0,8,3,220
2021-08-10,store_001,15799.08,0,large,500000,0,1,8,3,221
2021-08-11,store_001,16407.55,0,large,500000,0,2,8,3,222
2021-08-12,store_001,17123.9,0,large,500000,0,3,8,3,223
2021-08-13,store_001,16003.41,0,large,500000,0,4,8,3,224
2021-08-14,store_001,25049.77,0,large,500000,1,5,8,3,225
2021-08-15,store_001,42939.77,1,large,500000,1,6,8,3,226
2021-08-16,store_001,21715.64,1,large,500000,0,0,8,3,227
2021-08-17,store_001,27575.06,1,large,500000,0,1,8,3,228
2021-08-18,store_001,30386.48,1,large,500000,0,2,8,3,229
2021-08-19,store_001,22002.77,1,large,500000,0,3,8,3,230
2021-08-20,store_001,30259.85,1,large,500000,0,4,8,3,231
2021-08-21,store_001,33338.6,1,large,500000,1,5,8,3,232
2021-08-22,store_001,47119.13,1,large,500000,1,6,8,3,233
2021-08-23,store_001,26913.42,1,large,500000,0,0,8,3,234
2021-08-24,store_001,24943.88,1,large,500000,0,1,8,3,235
2021-08-25,store_001,30614.34,1,large,500000,0,2,8,3,236
2021-08-26,store_001,24963.21,1,large,500000,0,3,8,3,237
2021-08-27,store_001,28161.67,1,large,500000,0,4,8,3,238
2021-08-28,store_001,34188.78,1,large,500000,1,5,8,3,239
2021-08-29,store_001,37975.06,1,large,500000,1,6,8,3,240
2021-08-30,store_001,23714.2,1,large,500000,0,0,8,3,241
2021-08-31,store_001,28222.06,1,large,500000,0,1,8,3,242
2021-09-01,store_001,18063.59,0,large,500000,0,2,9,3,243
2021-09-02,store_001,15967.88,0,large,500000,0,3,9,3,244
2021-09-03,store_001,15749.24,0,large,500000,0,4,9,3,245
2021-09-04,store_001,20945.11,0,large,500000,1,5,9,3,246
2021-09-05,store_001,20964.56,0,large,500000,1,6,9,3,247
2021-09-06,store_001,14604.88,0,large,500000,0,0,9,3,248
2021-09-07,store_001,14471.45,0,large,500000,0,1,9,3,249
2021-09-08,store_001,15633.24,0,large,500000,0,2,9,3,250
2021-09-09,store_001,13385.95,0,large,500000,0,3,9,3,251
2021-09-10,store_001,13110.42,0,large,500000,0,4,9,3,252
2021-09-11,store_001,18161.92,0,large,500000,1,5,9,3,253
2021-09-12,store_001,24516.36,0,large,500000,1,6,9,3,254
2021-09-13,store_001,15228.49,0,large,500000,0,0,9,3,255
2021-09-14,store_001,14823.62,0,large,500000,0,1,9,3,256
2021-09-15,store_001,12796.67,0,large,500000,0,2,9,3,257
2021-09-16,store_001,15122.0,0,large,500000,0,3,9,3,258
2021-09-17,store_001,13994.71,0,large,500000,0,4,9,3,259
2021-09-18,store_001,20141.66,0,large,500000,1,5,9,3,260
2021-09-19,store_001,17699.86,0,large,500000,1,6,9,3,261
2021-09-20,store_001,14160.79,0,large,500000,0,0,9,3,262
2021-09-21,store_001,13276.57,0,large,500000,0,1,9,3,263
2021-09-22,store_001,12735.53,0,large,500000,0,2,9,3,264
2021-09-23,store_001,14726.28,0,large,500000,0,3,9,3,265
2021-09-24,store_001,11548.83,0,large,500000,0,4,9,3,266
2021-09-25,store_001,20080.14,0,large,500000,1,5,9,3,267
2021-09-26,store_001,20202.01,0,large,500000,1,6,9,3,268
2021-09-27,store_001,12253.67,0,large,500000,0,0,9,3,269
2021-09-28,store_001,12269.61,0,large,500000,0,1,9,3,270
2021-09-29,store_001,13000.69,0,large,500000,0,2,9,3,271
2021-09-30,store_001,13602.2,0,large,500000,0,3,9,3,272
2021-10-01,store_001,12960.41,0,large,500000,0,4,10,4,273
2021-10-02,store_001,19127.55,0,large,500000,1,5,10,4,274
2021-10-03,store_001,21455.89,0,large,500000,1,6,10,4,275
2021-10-04,store_001,12305.18,0,large,500000,0,0,10,4,276
2021-10-05,store_001,10686.37,0,large,500000,0,1,10,4,277
2021-10-06,store_001,13894.97,0,large,500000,0,2,10,4,278
2021-10-07,store_001,14921.78,0,large,500000,0,3,10,4,279
2021-10-08,store_001,13208.84,0,large,500000,0,4,10,4,280
2021-10-09,store_001,15781.41,0,large,500000,1,5,10,4,281
2021-10-10,store_001,17404.45,0,large,500000,1,6,10,4,282
2021-10-11,store_001,11126.73,0,large,500000,0,0,10,4,283
2021-10-12,store_001,13270.82,0,large,500000,0,1,10,4,284
2021-10-13,store_001,10734.21,0,large,500000,0,2,10,4,285
2021-10-14,store_001,11983.6,0,large,500000,0,3,10,4,286
2021-10-15,store_001,11063.19,0,large,500000,0,4,10,4,287
2021-10-16,store_001,17358.01,0,large,500000,1,5,10,4,288
2021-10-17,store_001,16439.75,0,large,500000,1,6,10,4,289
2021-10-18,store_001,12350.65,0,large,500000,0,0,10,4,290
2021-10-19,store_001,12111.05,0,large,500000,0,1,10,4,291
2021-10-20,store_001,10845.74,0,large,500000,0,2,10,4,292
2021-10-21,store_001,12734.16,0,large,500000,0,3,10,4,293
2021-10-22,store_001,11875.82,0,large,500000,0,4,10,4,294
2021-10-23,store_001,14995.61,0,large,500000,1,5,10,4,295
2021-10-24,store_001,20289.42,0,large,500000,1,6,10,4,296
2021-10-25,store_001,12355.52,0,large,500000,0,0,10,4,297
2021-10-26,store_001,11569.0,0,large,500000,0,1,10,4,298
2021-10-27,store_001,13362.2,0,large,500000,0,2,10,4,299
2021-10-28,store_001,13811.48,0,large,500000,0,3,10,4,300
2021-10-29,store_001,11453.24,0,large,500000,0,4,10,4,301
2021-10-30,store_001,16778.39,0,large,500000,1,5,10,4,302
2021-10-31,store_001,14564.09,0,large,500000,1,6,10,4,303
2021-11-01,store_001,11336.46,0,large,500000,0,0,11,4,304
2021-11-02,store_001,11241.12,0,large,500000,0,1,11,4,305
2021-11-03,store_001,11645.61,0,large,500000,0,2,11,4,306
2021-11-04,store_001,11779.7,0,large,500000,0,3,11,4,307
2021-11-05,store_001,12004.05,0,large,500000,0,4,11,4,308
2021-11-06,store_001,16247.86,0,large,500000,1,5,11,4,309
2021-11-07,store_001,13912.05,0,large,500000,1,6,11,4,310
2021-11-08,store_001,10218.83,0,large,500000,0,0,11,4,311
2021-11-09,store_001,10634.85,0,large,500000,0,1,11,4,312
2021-11-10,store_001,10906.45,0,large,500000,0,2,11,4,313
2021-11-11,store_001,12374.87,0,large,500000,0,3,11,4,314
2021-11-12,store_001,9874.95,0,large,500000,0,4,11,4,315
2021-11-13,store_001,15054.88,0,large,500000,1,5,11,4,316
2021-11-14,store_001,17068.52,0,large,500000,1,6,11,4,317
2021-11-15,store_001,10778.06,0,large,500000,0,0,11,4,318
2021-11-16,store_001,11603.6,0,large,500000,0,1,11,4,319
2021-11-17,store_001,10921.25,0,large,500000,0,2,11,4,320
2021-11-18,store_001,11344.11,0,large,500000,0,3,11,4,321
2021-11-19,store_001,10793.39,0,large,500000,0,4,11,4,322
2021-11-20,store_001,16476.21,0,large,500000,1,5,11,4,323
2021-11-21,store_001,13045.64,0,large,500000,1,6,11,4,324
2021-11-22,store_001,19995.5,1,large,500000,0,0,11,4,325
2021-11-23,store_001,23435.06,1,large,500000,0,1,11,4,326
2021-11-24,store_001,22224.54,1,large,500000,0,2,11,4,327
2021-11-25,store_001,21586.71,1,large,500000,0,3,11,4,328
2021-11-26,store_001,18780.52,1,large,500000,0,4,11,4,329
2021-11-27,store_001,27998.25,1,large,500000,1,5,11,4,330
2021-11-28,store_001,27987.87,1,large,500000,1,6,11,4,331
2021-11-29,store_001,10640.53,0,large,500000,0,0,11,4,332
2021-11-30,store_001,12481.73,0,large,500000,0,1,11,4,333
2021-12-01,store_001,10872.46,0,large,500000,0,2,12,4,334
2021-12-02,store_001,11892.26,0,large,500000,0,3,12,4,335
2021-12-03,store_001,10741.84,0,large,500000,0,4,12,4,336
2021-12-04,store_001,17959.94,0,large,500000,1,5,12,4,337
2021-12-05,store_001,14360.16,0,large,500000,1,6,12,4,338
2021-12-06,store_001,10336.51,0,large,500000,0,0,12,4,339
2021-12-07,store_001,12703.96,0,large,500000,0,1,12,4,340
2021-12-08,store_001,10544.36,0,large,500000,0,2,12,4,341
2021-12-09,store_001,12817.69,0,large,500000,0,3,12,4,342
2021-12-10,store_001,12050.11,0,large,500000,0,4,12,4,343
2021-12-11,store_001,15271.44,0,large,500000,1,5,12,4,344
2021-12-12,store_001,12718.69,0,large,500000,1,6,12,4,345
2021-12-13,store_001,11094.35,0,large,500000,0,0,12,4,346
2021-12-14,store_001,11249.2,0,large,500000,0,1,12,4,347
2021-12-15,store_001,24783.03,1,large,500000,0,2,12,4,348
2021-12-16,store_001,20910.05,1,large,500000,0,3,12,4,349
2021-12-17,store_001,23283.15,1,large,500000,0,4,12,4,350
2021-12-18,store_001,23434.9,1,large,500000,1,5,12,4,351
2021-12-19,store_001,24873.19,1,large,500000,1,6,12,4,352
2021-12-20,store_001,22053.74,1,large,500000,0,0,12,4,353
2021-12-21,store_001,23090.54,1,large,500000,0,1,12,4,354
2021-12-22,store_001,18108.75,1,large,500000,0,2,12,4,355
2021-12-23,store_001,17874.67,1,large,500000,0,3,12,4,356
2021-12-24,store_001,18314.13,1,large,500000,0,4,12,4,357
2021-12-25,store_001,24200.86,1,large,500000,1,5,12,4,358
2021-12-26,store_001,30529.51,1,large,500000,1,6,12,4,359
2021-12-27,store_001,24322.63,1,large,500000,0,0,12,4,360
2021-12-28,store_001,21335.98,1,large,500000,0,1,12,4,361
2021-12-29,store_001,22386.02,1,large,500000,0,2,12,4,362
2021-12-30,store_001,22633.78,1,large,500000,0,3,12,4,363
2021-12-31,store_001,19919.93,1,large,500000,0,4,12,4,364
2022-01-01,store_001,16410.59,0,large,500000,1,5,1,1,365
2022-01-02,store_001,16098.26,0,large,500000,1,6,1,1,366
2022-01-03,store_001,12405.74,0,large,500000,0,0,1,1,367
2022-01-04,store_001,10473.63,0,large,500000,0,1,1,1,368
2022-01-05,store_001,11888.1,0,large,500000,0,2,1,1,369
2022-01-06,store_001,12446.07,0,large,500000,0,3,1,1,370
2022-01-07,store_001,12063.3,0,large,500000,0,4,1,1,371
2022-01-08,store_001,19182.85,0,large,500000,1,5,1,1,372
2022-01-09,store_001,18294.29,0,large,500000,1,6,1,1,373
2022-01-10,store_001,12173.59,0,large,500000,0,0,1,1,374
2022-01-11,store_001,12503.09,0,large,500000,0,1,1,1,375
2022-01-12,store_001,12657.67,0,large,500000,0,2,1,1,376
2022-01-13,store_001,12849.62,0,large,500000,0,3,1,1,377
2022-01-14,store_001,10144.21,0,large,500000,0,4,1,1,378
2022-01-15,store_001,16930.46,0,large,500000,1,5,1,1,379
2022-01-16,store_001,14937.41,0,large,500000,1,6,1,1,380
2022-01-17,store_001,14200.28,0,large,500000,0,0,1,1,381
2022-01-18,store_001,12576.11,0,large,500000,0,1,1,1,382
2022-01-19,store_001,12470.46,0,large,500000,0,2,1,1,383
2022-01-20,store_001,13926.62,0,large,500000,0,3,1,1,384
2022-01-21,store_001,13388.02,0,large,500000,0,4,1,1,385
2022-01-22,store_001,16035.92,0,large,500000,1,5,1,1,386
2022-01-23,store_001,18040.75,0,large,500000,1,6,1,1,387
2022-01-24,store_001,12608.67,0,large,500000,0,0,1,1,388
2022-01-25,store_001,10826.57,0,large,500000,0,1,1,1,389
2022-01-26,store_001,12273.68,0,large,500000,0,2,1,1,390
2022-01-27,store_001,13010.56,0,large,500000,0,3,1,1,391
2022-01-28,store_001,13171.52,0,large,500000,0,4,1,1,392
2022-01-29,store_001,15974.93,0,large,500000,1,5,1,1,393
2022-01-30,store_001,21027.72,0,large,500000,1,6,1,1,394
2022-01-31,store_001,13403.46,0,large,500000,0,0,1,1,395
2022-02-01,store_001,13666.6,0,large,500000,0,1,2,1,396
2022-02-02,store_001,14238.37,0,large,500000,0,2,2,1,397
2022-02-03,store_001,12680.18,0,large,500000,0,3,2,1,398
2022-02-04,store_001,14472.29,0,large,500000,0,4,2,1,399
2022-02-05,store_001,18768.54,0,large,500000,1,5,2,1,400
2022-02-06,store_001,17834.84,0,large,500000,1,6,2,1,401
2022-02-07,store_001,14878.2,0,large,500000,0,0,2,1,402
2022-02-08,store_001,16259.88,0,large,500000,0,1,2,1,403
2022-02-09,store_001,15259.04,0,large,500000,0,2,2,1,404
2022-02-10,store_001,15627.25,0,large,500000,0,3,2,1,405
2022-02-11,store_001,13637.24,0,large,500000,0,4,2,1,406
2022-02-12,store_001,17017.0,0,large,500000,1,5,2,1,407
2022-02-13,store_001,23399.75,0,large,500000,1,6,2,1,408
2022-02-14,store_001,17632.41,0,large,500000,0,0,2,1,409
2022-02-15,store_001,16977.56,0,large,500000,0,1,2,1,410
2022-02-16,store_001,14293.2,0,large,500000,0,2,2,1,411
2022-02-17,store_001,13154.5,0,large,500000,0,3,2,1,412
2022-02-18,store_001,13360.15,0,large,500000,0,4,2,1,413
2022-02-19,store_001,17506.25,0,large,500000,1,5,2,1,414
2022-02-20,store_001,20939.06,0,large,500000,1,6,2,1,415
2022-02-21,store_001,17642.63,0,large,500000,0,0,2,1,416
2022-02-22,store_001,15068.31,0,large,500000,0,1,2,1,417
2022-02-23,store_001,15832.76,0,large,500000,0,2,2,1,418
2022-02-24,store_001,17577.14,0,large,500000,0,3,2,1,419
2022-02-25,store_001,14907.46,0,large,500000,0,4,2,1,420
